tree_id,trunk_diam,status,health,spc_common,neighborhood
237926,12,Alive,Fair,tulip-poplar,Greenpoint
138571,14,Alive,Fair,Norway maple,Rosedale
542248,16,Alive,Good,Norway maple,Baisley Park
291244,24,Alive,Good,silver maple,Midwood
181712,2,Alive,Good,red maple,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
125427,7,Alive,Good,Callery pear,East Harlem South
706806,6,Alive,Good,London planetree,Homecrest
37224,3,Alive,Fair,cherry,Bushwick North
152261,13,Alive,Fair,Sophora,Washington Heights South
236218,6,Alive,Good,ginkgo,28
329933,15,Alive,Good,Callery pear,Rossville-Woodrow
244436,21,Alive,Good,pin oak,Bayside-Bayside Hills
523315,23,Alive,Good,littleleaf linden,Morningside Heights
383703,39,Alive,Fair,London planetree,East Flushing
513801,3,Alive,Good,sweetgum,Annadale-Huguenot-Prince's Bay-Eltingville
381752,5,Alive,Good,Japanese zelkova,Glendale
322900,8,Alive,Good,green ash,Charleston-Richmond Valley-Tottenville
146128,10,Alive,Good,honeylocust,Lincoln Square
161058,12,Alive,Good,Callery pear,New Springville-Bloomfield-Travis
418200,22,Alive,Good,horse chestnut,Richmond Hill
469125,4,Alive,Fair,scarlet oak,Eastchester-Edenwald-Baychester
331339,6,Alive,Good,littleleaf linden,Queens Village
17895,6,Alive,Fair,littleleaf linden,SoHo-TriBeCa-Civic Center-Little Italy
661401,5,Alive,Good,cherry,Oakland Gardens
244546,10,Alive,Fair,Callery pear,BX17
600792,10,Alive,Good,cherry,Auburndale
289547,4,Dead,,,Forest Hills
419553,37,Alive,Fair,London planetree,BK81
47426,10,Alive,Good,Callery pear,Brooklyn Heights-Cobble Hill
504017,4,Alive,Good,eastern redbud,Westchester-Unionport
583386,15,Alive,Good,honeylocust,Ocean Hill
252668,5,Alive,Good,tree of heaven,Prospect Heights
205928,11,Alive,Good,Japanese zelkova,12
311924,9,Alive,Fair,white ash,Homecrest
216583,12,Alive,Poor,Norway maple,BX31
355661,12,Alive,Good,Sophora,MN04
564431,4,Alive,Fair,magnolia,St. Albans
399072,8,Alive,Good,Callery pear,Arden Heights
664054,37,Alive,Good,London planetree,QN54
26332,0,Stump,,,Great Kills
360572,16,Alive,Good,green ash,QN29
26874,13,Alive,Poor,red maple,Woodhaven
534487,11,Alive,Good,Japanese zelkova,Great Kills
295811,11,Alive,Good,Callery pear,Upper East Side-Carnegie Hill
330415,13,Alive,Good,American linden,Allerton-Pelham Gardens
292466,23,Alive,Good,London planetree,Queens Village
664034,21,Alive,Good,London planetree,Crown Heights North
248459,6,Alive,Fair,Callery pear,Rossville-Woodrow
505912,6,Alive,Good,maple,Annadale-Huguenot-Prince's Bay-Eltingville
160815,2,Alive,Poor,littleleaf linden,Springfield Gardens South-Brookville
468151,5,Alive,Good,cherry,Mariner's Harbor-Arlington-Port Ivory-Graniteville
191879,5,Alive,Good,golden raintree,Carroll Gardens-Columbia Street-Red Hook
417109,19,Alive,Good,Norway maple,Canarsie
612268,22,Alive,Good,London planetree,BK46
643537,15,Alive,Good,ash,South Ozone Park
477421,18,Alive,Fair,London planetree,Sheepshead Bay-Gerritsen Beach-Manhattan Beach
