tree_id,trunk_diam,status,health,spc_common,neighborhood,tree_diam_category
85098,9,Alive,Good,Japanese zelkova,Douglas Manor-Douglaston-Little Neck,Medium-Large (10-18in)
660847,30,Alive,Good,London planetree,Murray Hill,
600558,4,Alive,Good,American elm,Auburndale,Medium-Large (10-18in)
315915,4,Alive,Good,Japanese zelkova,Prospect Lefferts Gardens-Wingate,Medium-Large (10-18in)
226488,8,Alive,Good,willow oak,Murray Hill-Kips Bay,Medium-Large (10-18in)
147230,3,Alive,Good,silver linden,Steinway,Medium (3-10in)
492940,2,Alive,Good,Callery pear,New Springville-Bloomfield-Travis,Medium (3-10in)
537614,1,Alive,Good,ginkgo,Todt Hill-Emerson Hill-Heartland Village-Lighthous,Medium (3-10in)
105943,7,Alive,Good,Japanese hornbeam,Washington Heights North,Medium-Large (10-18in)
131902,13,Alive,Good,silver linden,Williamsbridge-Olinville,Large (18-24in)
213106,24,Alive,Good,London planetree,16,Very large (>24in)
642711,27,Alive,Good,London planetree,Murray Hill,
60081,24,Alive,Good,London planetree,Bushwick South,Very large (>24in)
513231,3,Dead,,,Annadale-Huguenot-Prince's Bay-Eltingville,Medium (3-10in)
302451,18,Alive,Good,London planetree,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Large (18-24in)
26963,10,Alive,Good,Callery pear,Hudson Yards-Chelsea-Flatiron-Union Square,Medium-Large (10-18in)
414441,11,Alive,Good,pin oak,West New Brighton-New Brighton-St. George,Large (18-24in)
346360,11,Alive,Good,Norway maple,Forest Hills,Large (18-24in)
56173,0,Stump,,,East New York,Small (0-3in)
681867,7,Alive,Good,Japanese zelkova,Crown Heights North,Medium-Large (10-18in)
191458,15,Alive,Good,white ash,Lower East Side,Large (18-24in)
438877,0,Stump,,,Norwood,Small (0-3in)
507140,18,Alive,Fair,honeylocust,Parkchester,Large (18-24in)
704371,9,Alive,Poor,cherry,Lindenwood-Howard Beach,Medium-Large (10-18in)
115795,22,Alive,Fair,sweetgum,Queens Village,Very large (>24in)
153364,7,Alive,Good,littleleaf linden,North Side-South Side,Medium-Large (10-18in)
386873,6,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville,Medium-Large (10-18in)
155747,8,Alive,Good,honeylocust,Upper West Side,Medium-Large (10-18in)
524190,4,Alive,Fair,Callery pear,Rossville-Woodrow,Medium-Large (10-18in)
221721,11,Alive,Poor,littleleaf linden,East Williamsburg,Large (18-24in)
226218,28,Alive,Good,pin oak,Todt Hill-Emerson Hill-Heartland Village-Lighthous,
194029,3,Alive,Fair,Japanese zelkova,Hunters Point-Sunnyside-West Maspeth,Medium (3-10in)
302385,5,Alive,Good,honeylocust,Crown Heights North,Medium-Large (10-18in)
139094,10,Alive,Good,Callery pear,College Point,Medium-Large (10-18in)
686736,5,Alive,Good,Callery pear,Briarwood-Jamaica Hills,Medium-Large (10-18in)
585914,3,Alive,Good,eastern redbud,Rosedale,Medium (3-10in)
557112,6,Alive,Good,cherry,Woodlawn-Wakefield,Medium-Large (10-18in)
636159,18,Alive,Good,Callery pear,South Ozone Park,Large (18-24in)
437619,8,Alive,Good,red maple,Old Town-Dongan Hills-South Beach,Medium-Large (10-18in)
603467,5,Alive,Good,silver linden,Maspeth,Medium-Large (10-18in)
101005,4,Alive,Good,honeylocust,East Tremont,Medium-Large (10-18in)
609281,0,Stump,,,Pomonok-Flushing Heights-Hillcrest,Small (0-3in)
31680,13,Alive,Good,honeylocust,Norwood,Large (18-24in)
718000,19,Alive,Good,green ash,Ozone Park,Very large (>24in)
402626,14,Alive,Good,honeylocust,West New Brighton-New Brighton-St. George,Large (18-24in)
104794,18,Alive,Good,London planetree,Laurelton,Large (18-24in)
556565,8,Alive,Good,pin oak,Douglas Manor-Douglaston-Little Neck,Medium-Large (10-18in)
411910,28,Alive,Good,London planetree,Bensonhurst East,
459649,5,Alive,Good,golden raintree,Far Rockaway-Bayswater,Medium-Large (10-18in)
465638,14,Alive,Good,honeylocust,Crotona Park East,Large (18-24in)
189370,19,Alive,Good,London planetree,Park Slope-Gowanus,Very large (>24in)
572926,13,Alive,Poor,catalpa,Cambria Heights,Large (18-24in)
365189,5,Alive,Poor,cherry,QN66,Medium-Large (10-18in)
496086,4,Alive,Good,red maple,Westerleigh,Medium-Large (10-18in)
580285,37,Alive,Good,London planetree,St. Albans,
400266,22,Alive,Good,red maple,Schuylerville-Throgs Neck-Edgewater Park,Very large (>24in)
58003,9,Alive,Fair,honeylocust,QN46,Medium-Large (10-18in)
105072,6,Alive,Good,American elm,Fordham South,Medium-Large (10-18in)
640432,5,Alive,Good,Callery pear,Glendale,Medium-Large (10-18in)
48464,11,Alive,Good,crimson king maple,Great Kills,Large (18-24in)
352362,11,Alive,Good,green ash,Annadale-Huguenot-Prince's Bay-Eltingville,Large (18-24in)
551543,6,Alive,Good,honeylocust,Mott Haven-Port Morris,Medium-Large (10-18in)
550634,4,Alive,Good,maple,North Riverdale-Fieldston-Riverdale,Medium-Large (10-18in)
656373,6,Alive,Good,silver maple,Murray Hill,Medium-Large (10-18in)
354856,3,Alive,Good,cherry,Williamsbridge-Olinville,Medium (3-10in)
302792,9,Alive,Fair,littleleaf linden,Carroll Gardens-Columbia Street-Red Hook,Medium-Large (10-18in)
390172,2,Alive,Good,Japanese hornbeam,Richmond Hill,Medium (3-10in)
153274,4,Alive,Good,American elm,East Williamsburg,Medium-Large (10-18in)
541525,24,Alive,Good,London planetree,Baisley Park,Very large (>24in)
285713,25,Alive,Good,Japanese zelkova,New Dorp-Midland Beach,
210578,6,Alive,Good,cherry,Astoria,Medium-Large (10-18in)
474591,10,Alive,Good,Japanese zelkova,Eastchester-Edenwald-Baychester,Medium-Large (10-18in)
512293,22,Alive,Good,London planetree,Annadale-Huguenot-Prince's Bay-Eltingville,Very large (>24in)
44175,29,Alive,Good,red maple,Westerleigh,
161037,4,Alive,Good,cherry,Hammels-Arverne-Edgemere,Medium-Large (10-18in)
469175,7,Alive,Good,ash,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Medium-Large (10-18in)
322144,5,Alive,Good,pin oak,Rugby-Remsen Village,Medium-Large (10-18in)
715178,25,Alive,Fair,London planetree,Glendale,
140014,8,Alive,Good,Callery pear,Ridgewood,Medium-Large (10-18in)
349406,6,Alive,Good,cherry,St. Albans,Medium-Large (10-18in)
368032,23,Alive,Good,pin oak,BK30,Very large (>24in)
297504,19,Alive,Good,pitch pine,BK58,Very large (>24in)
525537,7,Alive,Good,willow oak,Hudson Yards-Chelsea-Flatiron-Union Square,Medium-Large (10-18in)
530619,6,Alive,Good,Callery pear,Arden Heights,Medium-Large (10-18in)
64318,5,Alive,Good,Callery pear,Hudson Yards-Chelsea-Flatiron-Union Square,Medium-Large (10-18in)
287053,9,Alive,Fair,Sophora,Homecrest,Medium-Large (10-18in)
299233,5,Alive,Good,purple-leaf plum,Flatlands,Medium-Large (10-18in)
616384,6,Alive,Good,pin oak,Bay Ridge,Medium-Large (10-18in)
536994,15,Alive,Good,sweetgum,Todt Hill-Emerson Hill-Heartland Village-Lighthous,Large (18-24in)
125175,20,Alive,Fair,London planetree,Charleston-Richmond Valley-Tottenville,Very large (>24in)
445541,4,Alive,Good,swamp white oak,East New York,Medium-Large (10-18in)
634476,7,Alive,Good,purple-leaf plum,Douglas Manor-Douglaston-Little Neck,Medium-Large (10-18in)
600402,0,Stump,,,Auburndale,Small (0-3in)
420859,21,Alive,Good,London planetree,Canarsie,Very large (>24in)
178863,20,Alive,Fair,London planetree,Bushwick North,Very large (>24in)
459767,24,Alive,Good,London planetree,Far Rockaway-Bayswater,Very large (>24in)
145253,11,Alive,Good,Callery pear,Park Slope-Gowanus,Large (18-24in)
630058,8,Alive,Fair,Schumard's oak,Jamaica Estates-Holliswood,Medium-Large (10-18in)
29186,24,Alive,Good,black locust,Great Kills,Very large (>24in)
88270,3,Alive,Good,Japanese zelkova,Bellerose,Medium (3-10in)
293759,18,Alive,Good,pin oak,Steinway,Large (18-24in)
558656,9,Alive,Fair,ginkgo,Baisley Park,Medium-Large (10-18in)
594080,13,Alive,Good,pin oak,Glen Oaks-Floral Park-New Hyde Park,Large (18-24in)
379457,9,Alive,Good,pin oak,Grymes Hill-Clifton-Fox Hills,Medium-Large (10-18in)
534121,9,Alive,Good,Callery pear,Great Kills,Medium-Large (10-18in)
510807,10,Alive,Poor,red maple,Annadale-Huguenot-Prince's Bay-Eltingville,Medium-Large (10-18in)
638130,33,Alive,Fair,tulip-poplar,East Flushing,
654850,22,Alive,Good,pin oak,Jamaica Estates-Holliswood,Very large (>24in)
219924,4,Alive,Good,honeylocust,28,Medium-Large (10-18in)
700878,19,Alive,Good,honeylocust,Brownsville,Very large (>24in)
270966,37,Alive,Good,London planetree,Kensington-Ocean Parkway,
324993,19,Alive,Poor,Norway maple,Auburndale,Very large (>24in)
632297,3,Alive,Fair,'Schubert' chokecherry,Gravesend,Medium (3-10in)
424935,2,Alive,Fair,honeylocust,Stapleton-Rosebank,Medium (3-10in)
247788,17,Alive,Good,littleleaf linden,Bellerose,Large (18-24in)
268247,4,Alive,Poor,Callery pear,MN23,Medium-Large (10-18in)
378134,18,Alive,Good,American elm,Van Cortlandt Village,Large (18-24in)
369145,2,Alive,Good,'Schubert' chokecherry,Laurelton,Medium (3-10in)
273943,5,Dead,,,Glen Oaks-Floral Park-New Hyde Park,Medium-Large (10-18in)
95412,3,Alive,Good,Japanese zelkova,Lenox Hill-Roosevelt Island,Medium (3-10in)
719159,8,Alive,Good,Callery pear,South Jamaica,Medium-Large (10-18in)
670433,4,Alive,Good,red maple,College Point,Medium-Large (10-18in)
222538,5,Alive,Fair,American linden,QN23,Medium-Large (10-18in)
566159,3,Alive,Good,cherry,Hollis,Medium (3-10in)
709038,21,Alive,Fair,silver maple,Bath Beach,Very large (>24in)
681201,28,Alive,Good,pin oak,Kew Gardens Hills,
660668,24,Alive,Good,London planetree,QN06,Very large (>24in)
50237,6,Alive,Fair,littleleaf linden,QN20,Medium-Large (10-18in)
24101,20,Alive,Good,London planetree,Ocean Hill,Very large (>24in)
403947,6,Alive,Good,flowering dogwood,Oakland Gardens,Medium-Large (10-18in)
510968,11,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville,Large (18-24in)
148968,11,Alive,Good,American linden,QN23,Large (18-24in)
221708,16,Alive,Good,crimson king maple,Jamaica Estates-Holliswood,Large (18-24in)
110074,10,Alive,Fair,pin oak,BK69,Medium-Large (10-18in)
659028,36,Alive,Good,London planetree,Maspeth,
588498,7,Alive,Good,hedge maple,Rosedale,Medium-Large (10-18in)
335406,34,Alive,Good,London planetree,Flatbush,
686117,8,Alive,Good,eastern redbud,Briarwood-Jamaica Hills,Medium-Large (10-18in)
603652,5,Alive,Good,tulip-poplar,Douglas Manor-Douglaston-Little Neck,Medium-Large (10-18in)
411441,25,Alive,Fair,London planetree,Clinton Hill,
188951,20,Alive,Good,London planetree,Park Slope-Gowanus,Very large (>24in)
233954,3,Alive,Poor,empress tree,Bedford Park-Fordham North,Medium (3-10in)
685961,7,Alive,Good,swamp white oak,Briarwood-Jamaica Hills,Medium-Large (10-18in)
110341,6,Alive,Good,ginkgo,Clinton Hill,Medium-Large (10-18in)
714904,0,Stump,,,Glendale,Small (0-3in)
159196,8,Alive,Good,Kentucky yellowwood,Flatbush,Medium-Large (10-18in)
523731,14,Alive,Good,Chinese elm,Maspeth,Large (18-24in)
452614,28,Alive,Good,London planetree,New Dorp-Midland Beach,
541661,14,Alive,Good,green ash,Baisley Park,Large (18-24in)
586098,15,Alive,Good,Sophora,St. Albans,Large (18-24in)
564095,10,Alive,Good,littleleaf linden,Whitestone,Medium-Large (10-18in)
317061,11,Alive,Poor,sycamore maple,Queensboro Hill,Large (18-24in)
451068,9,Alive,Good,Sophora,East Concourse-Concourse Village,Medium-Large (10-18in)
137354,5,Alive,Fair,Japanese zelkova,Rosedale,Medium-Large (10-18in)
502548,6,Alive,Good,Callery pear,Annadale-Huguenot-Prince's Bay-Eltingville,Medium-Large (10-18in)
549610,17,Alive,Good,pin oak,Crown Heights North,Large (18-24in)
580466,32,Alive,Good,London planetree,Baisley Park,
426020,33,Alive,Good,pin oak,New Brighton-Silver Lake,
192577,18,Alive,Good,London planetree,Gravesend,Large (18-24in)
713943,15,Alive,Good,green ash,QN56,Large (18-24in)
425227,32,Alive,Good,London planetree,Midwood,
524179,4,Alive,Good,cherry,Rossville-Woodrow,Medium-Large (10-18in)
471883,24,Alive,Good,London planetree,Morrisania-Melrose,Very large (>24in)
169571,2,Alive,Good,Japanese snowbell,Sunset Park East,Medium (3-10in)
702970,22,Alive,Good,London planetree,Canarsie,Very large (>24in)
689876,22,Alive,Good,London planetree,Canarsie,Very large (>24in)
486737,18,Alive,Fair,Norway maple,Bath Beach,Large (18-24in)
203276,9,Alive,Good,ginkgo,39,Medium-Large (10-18in)
535383,13,Alive,Poor,American linden,Great Kills,Large (18-24in)
204017,3,Dead,,,Brownsville,Medium (3-10in)
272001,4,Alive,Good,littleleaf linden,SoHo-TriBeCa-Civic Center-Little Italy,Medium-Large (10-18in)
445870,2,Alive,Good,hardy rubber tree,East New York,Medium (3-10in)
227366,22,Alive,Good,London planetree,Woodlawn-Wakefield,Very large (>24in)
285420,2,Alive,Poor,flowering dogwood,New Dorp-Midland Beach,Medium (3-10in)
116678,3,Alive,Fair,pin oak,Borough Park,Medium (3-10in)
418354,5,Alive,Good,littleleaf linden,Stapleton-Rosebank,Medium-Large (10-18in)
453339,9,Alive,Good,Callery pear,East New York (Pennsylvania Ave),Medium-Large (10-18in)
350116,71,Alive,Good,Callery pear,Williamsbridge-Olinville,
447175,13,Alive,Good,honeylocust,Hunts Point,Large (18-24in)
58934,9,Alive,Good,honeylocust,North Side-South Side,Medium-Large (10-18in)
208337,19,Alive,Good,London planetree,Upper West Side,Very large (>24in)
636446,18,Alive,Good,silver maple,South Ozone Park,Large (18-24in)
110253,18,Alive,Good,Sophora,Bedford,Large (18-24in)
194722,7,Alive,Good,Callery pear,Great Kills,Medium-Large (10-18in)
276199,5,Alive,Good,black oak,East New York,Medium-Large (10-18in)
344672,25,Alive,Good,London planetree,Westerleigh,
408278,6,Alive,Good,Japanese zelkova,West New Brighton-New Brighton-St. George,Medium-Large (10-18in)
634290,11,Alive,Fair,cherry,58,Large (18-24in)
10174,12,Alive,Good,silver linden,Ft. Totten-Bay Terrace-Clearview,Large (18-24in)
487391,27,Alive,Good,Japanese zelkova,East Flatbush-Farragut,
163930,15,Alive,Good,honeylocust,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Large (18-24in)
445340,24,Alive,Good,London planetree,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Very large (>24in)
66356,6,Alive,Good,sweetgum,New Springville-Bloomfield-Travis,Medium-Large (10-18in)
109840,6,Alive,Good,American linden,Ridgewood,Medium-Large (10-18in)
180684,12,Alive,Good,Callery pear,Prospect Heights,Large (18-24in)
468126,3,Alive,Good,red maple,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Medium (3-10in)
463285,19,Alive,Good,London planetree,Old Town-Dongan Hills-South Beach,Very large (>24in)
300451,19,Alive,Good,Norway maple,Westerleigh,Very large (>24in)
235470,5,Alive,Good,northern red oak,SoHo-TriBeCa-Civic Center-Little Italy,Medium-Large (10-18in)
16156,11,Alive,Poor,pin oak,Turtle Bay-East Midtown,Large (18-24in)
542697,26,Alive,Good,Norway maple,Queensboro Hill,
455894,7,Alive,Good,purple-leaf plum,Douglas Manor-Douglaston-Little Neck,Medium-Large (10-18in)
330716,1,Alive,Good,cherry,Rossville-Woodrow,Medium (3-10in)
282087,5,Alive,Good,Japanese zelkova,Ridgewood,Medium-Large (10-18in)
448808,12,Alive,Good,cherry,Old Town-Dongan Hills-South Beach,Large (18-24in)
280309,2,Alive,Good,ginkgo,Washington Heights South,Medium (3-10in)
697819,18,Alive,Good,sweetgum,QN46,Large (18-24in)
333215,14,Alive,Good,Japanese zelkova,Canarsie,Large (18-24in)
485709,33,Alive,Good,London planetree,Sunset Park East,
648811,19,Alive,Good,silver maple,Auburndale,Very large (>24in)
274989,17,Alive,Good,white ash,Glen Oaks-Floral Park-New Hyde Park,Large (18-24in)
675159,2,Alive,Good,ginkgo,Crown Heights North,Medium (3-10in)
63606,0,Stump,,,Glendale,Small (0-3in)
495884,10,Alive,Good,red maple,New Springville-Bloomfield-Travis,Medium-Large (10-18in)
43418,8,Alive,Good,silver maple,BK31,Medium-Large (10-18in)
694723,9,Alive,Good,Sophora,South Jamaica,Medium-Large (10-18in)
453338,10,Alive,Good,honeylocust,East New York (Pennsylvania Ave),Medium-Large (10-18in)
132275,3,Alive,Good,cherry,Forest Hills,Medium (3-10in)
47474,11,Alive,Fair,honeylocust,52,Large (18-24in)
234110,28,Alive,Good,pin oak,Queensboro Hill,
240548,10,Alive,Poor,ginkgo,Turtle Bay-East Midtown,Medium-Large (10-18in)
698014,4,Alive,Good,cherry,Jamaica,Medium-Large (10-18in)
456387,18,Alive,Poor,pin oak,New Dorp-Midland Beach,Large (18-24in)
361893,25,Alive,Good,London planetree,Allerton-Pelham Gardens,
647036,3,Alive,Good,American elm,Bensonhurst West,Medium (3-10in)
360002,12,Alive,Fair,Norway maple,Allerton-Pelham Gardens,Large (18-24in)
503315,13,Alive,Good,Japanese zelkova,Soundview-Castle Hill-Clason Point-Harding Park,Large (18-24in)
663001,21,Alive,Good,London planetree,Murray Hill,Very large (>24in)
389013,17,Alive,Good,Norway maple,Van Nest-Morris Park-Westchester Square,Large (18-24in)
23630,32,Alive,Good,pin oak,Woodlawn-Wakefield,
365045,8,Alive,Good,Norway maple,Charleston-Richmond Valley-Tottenville,Medium-Large (10-18in)
278052,3,Alive,Good,Callery pear,New Brighton-Silver Lake,Medium (3-10in)
35576,9,Alive,Good,Callery pear,Charleston-Richmond Valley-Tottenville,Medium-Large (10-18in)
141616,5,Alive,Good,Callery pear,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Medium-Large (10-18in)
590444,14,Alive,Good,pin oak,Queens Village,Large (18-24in)
203792,2,Alive,Good,pin oak,Upper West Side,Medium (3-10in)
22245,5,Alive,Fair,black locust,Central Harlem South,Medium-Large (10-18in)
2162,3,Alive,Fair,Callery pear,Ft. Totten-Bay Terrace-Clearview,Medium (3-10in)
248133,5,Alive,Good,'Schubert' chokecherry,Bayside-Bayside Hills,Medium-Large (10-18in)
119369,11,Alive,Good,honeylocust,QN20,Large (18-24in)
507286,4,Alive,Good,crab apple,Borough Park,Medium-Large (10-18in)
693322,14,Alive,Good,London planetree,South Jamaica,Large (18-24in)
21940,10,Alive,Good,cherry,Central Harlem South,Medium-Large (10-18in)
586651,9,Alive,Good,red maple,New Springville-Bloomfield-Travis,Medium-Large (10-18in)
264508,19,Alive,Good,London planetree,SI54,Very large (>24in)
521482,4,Alive,Good,cherry,Woodlawn-Wakefield,Medium-Large (10-18in)
95543,3,Alive,Good,cherry,Douglas Manor-Douglaston-Little Neck,Medium (3-10in)
153718,19,Alive,Fair,London planetree,Bensonhurst West,Very large (>24in)
239992,2,Alive,Good,pin oak,Carroll Gardens-Columbia Street-Red Hook,Medium (3-10in)
447098,4,Alive,Good,Norway maple,Old Town-Dongan Hills-South Beach,Medium-Large (10-18in)
693870,2,Alive,Good,cherry,South Jamaica,Medium (3-10in)
115055,23,Alive,Good,London planetree,BK30,Very large (>24in)
547370,7,Alive,Good,'Schubert' chokecherry,Stapleton-Rosebank,Medium-Large (10-18in)
162123,5,Alive,Fair,American linden,Midtown-Midtown South,Medium-Large (10-18in)
336050,4,Dead,,,Mount Hope,Medium-Large (10-18in)
526413,29,Alive,Good,London planetree,Elmhurst-Maspeth,
608143,12,Alive,Good,red maple,Cambria Heights,Large (18-24in)
630804,9,Alive,Good,cherry,Glendale,Medium-Large (10-18in)
358996,12,Alive,Good,pin oak,Bayside-Bayside Hills,Large (18-24in)
639740,3,Alive,Good,sweetgum,College Point,Medium (3-10in)
141927,5,Alive,Fair,eastern redcedar,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Medium-Large (10-18in)
165613,9,Alive,Good,Kentucky coffeetree,Greenpoint,Medium-Large (10-18in)
279539,8,Alive,Good,purple-leaf plum,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan,Medium-Large (10-18in)
519171,16,Alive,Good,red maple,BK58,Large (18-24in)
703028,6,Alive,Good,maple,Ozone Park,Medium-Large (10-18in)
26159,22,Alive,Good,London planetree,Breezy Point-Belle Harbor-Rockaway Park-Broad Chan,Very large (>24in)
147866,4,Alive,Good,flowering dogwood,Ocean Hill,Medium-Large (10-18in)
46216,17,Alive,Good,honeylocust,Brooklyn Heights-Cobble Hill,Large (18-24in)
412708,4,Alive,Good,Japanese zelkova,Hammels-Arverne-Edgemere,Medium-Large (10-18in)
55374,3,Alive,Good,silver linden,East Tremont,Medium (3-10in)
268492,2,Alive,Good,purple-leaf plum,Ocean Parkway South,Medium (3-10in)
345826,9,Alive,Good,littleleaf linden,West Farms-Bronx River,Medium-Large (10-18in)
705086,0,Stump,,,Middle Village,Small (0-3in)
700615,24,Alive,Good,London planetree,Lindenwood-Howard Beach,Very large (>24in)
136615,4,Alive,Fair,'Schubert' chokecherry,East Village,Medium-Large (10-18in)
418534,6,Alive,Good,Japanese zelkova,Stapleton-Rosebank,Medium-Large (10-18in)
153895,8,Alive,Good,Sophora,North Side-South Side,Medium-Large (10-18in)
20293,28,Alive,Good,pin oak,Westerleigh,
145333,0,Stump,,,Jamaica Estates-Holliswood,Small (0-3in)
14112,10,Alive,Good,honeylocust,Schuylerville-Throgs Neck-Edgewater Park,Medium-Large (10-18in)
450883,3,Alive,Good,cherry,East New York,Medium (3-10in)
467993,11,Alive,Good,'Schubert' chokecherry,Far Rockaway-Bayswater,Large (18-24in)
150186,9,Alive,Good,honeylocust,Greenpoint,Medium-Large (10-18in)
155812,6,Alive,Fair,honeylocust,Upper West Side,Medium-Large (10-18in)
1361,4,Alive,Good,scarlet oak,Ft. Totten-Bay Terrace-Clearview,Medium-Large (10-18in)
466464,10,Alive,Good,red maple,Mariner's Harbor-Arlington-Port Ivory-Graniteville,Medium-Large (10-18in)
52364,5,Alive,Good,pin oak,New Springville-Bloomfield-Travis,Medium-Large (10-18in)
585607,12,Alive,Good,crimson king maple,Oakwood-Oakwood Beach,Large (18-24in)
154201,20,Alive,Good,ginkgo,BK96,Very large (>24in)
508035,23,Alive,Good,ginkgo,Soundview-Bruckner,Very large (>24in)
210572,2,Alive,Good,cherry,Astoria,Medium (3-10in)
481944,18,Alive,Good,Callery pear,Port Richmond,Large (18-24in)
535,15,Alive,Good,littleleaf linden,Elmhurst,Large (18-24in)
423059,4,Alive,Good,sawtooth oak,Cypress Hills-City Line,Medium-Large (10-18in)
481964,5,Alive,Good,honeylocust,West Concourse,Medium-Large (10-18in)
582244,10,Alive,Good,hedge maple,Bedford,Medium-Large (10-18in)
518046,9,Alive,Good,pin oak,Woodlawn-Wakefield,Medium-Large (10-18in)
223862,2,Alive,Good,cherry,Woodlawn-Wakefield,Medium (3-10in)
239324,8,Dead,,,East Williamsburg,Medium-Large (10-18in)
26001,6,Alive,Poor,Japanese zelkova,Windsor Terrace,Medium-Large (10-18in)
95925,2,Alive,Good,crimson king maple,Douglas Manor-Douglaston-Little Neck,Medium (3-10in)
699200,15,Alive,Good,London planetree,East Flatbush-Farragut,Large (18-24in)
420716,10,Alive,Good,mimosa,Cypress Hills-City Line,Medium-Large (10-18in)
244053,5,Alive,Fair,Callery pear,Great Kills,Medium-Large (10-18in)
66643,8,Alive,Good,honeylocust,Hamilton Heights,Medium-Large (10-18in)
71640,2,Alive,Fair,honeylocust,South Jamaica,Medium (3-10in)
157963,15,Alive,Good,honeylocust,Upper West Side,Large (18-24in)
45707,3,Alive,Good,sweetgum,DUMBO-Vinegar Hill-Downtown Brooklyn-Boerum Hill,Medium (3-10in)
228733,2,Alive,Good,sawtooth oak,Clinton Hill,Medium (3-10in)
392098,5,Alive,Good,Callery pear,Grymes Hill-Clifton-Fox Hills,Medium-Large (10-18in)
198532,28,Alive,Good,American elm,Morningside Heights,
12151,7,Alive,Fair,ginkgo,MN35,Medium-Large (10-18in)
339311,20,Alive,Good,green ash,Westerleigh,Very large (>24in)
164400,3,Alive,Good,swamp white oak,Midtown-Midtown South,Medium (3-10in)
440028,11,Alive,Good,honeylocust,Borough Park,Large (18-24in)
344074,11,Alive,Good,honeylocust,QN31,Large (18-24in)
237303,7,Alive,Fair,American linden,Greenpoint,Medium-Large (10-18in)
435212,14,Alive,Good,London planetree,BK82,Large (18-24in)
232276,12,Alive,Fair,Callery pear,MN31,Large (18-24in)
267998,10,Alive,Good,American linden,Hunts Point,Medium-Large (10-18in)
91147,0,Dead,,,Ridgewood,Small (0-3in)
309590,4,Alive,Good,golden raintree,Washington Heights South,Medium-Large (10-18in)
78422,3,Alive,Good,American linden,Park Slope-Gowanus,Medium (3-10in)
355765,2,Alive,Good,Turkish hazelnut,Oakland Gardens,Medium (3-10in)
271394,16,Alive,Good,American elm,Schuylerville-Throgs Neck-Edgewater Park,Large (18-24in)
221340,35,Alive,Good,London planetree,Annadale-Huguenot-Prince's Bay-Eltingville,
204561,2,Alive,Good,American elm,Brownsville,Medium (3-10in)
403367,4,Alive,Good,purple-leaf plum,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Medium-Large (10-18in)
237929,2,Alive,Fair,eastern redbud,Carroll Gardens-Columbia Street-Red Hook,Medium (3-10in)
220611,7,Alive,Poor,ginkgo,BK63,Medium-Large (10-18in)
594316,22,Alive,Good,London planetree,Bellerose,Very large (>24in)
645499,4,Alive,Fair,pin oak,Woodhaven,Medium-Large (10-18in)
536209,31,Alive,Good,London planetree,Borough Park,
392910,6,Alive,Good,Callery pear,Schuylerville-Throgs Neck-Edgewater Park,Medium-Large (10-18in)
675439,3,Alive,Fair,northern red oak,Georgetown-Marine Park-Bergen Beach-Mill Basin,Medium (3-10in)
466393,2,Alive,Good,dawn redwood,Williamsbridge-Olinville,Medium (3-10in)
522629,9,Alive,Good,pin oak,Hudson Yards-Chelsea-Flatiron-Union Square,Medium-Large (10-18in)
519854,4,Dead,,,Charleston-Richmond Valley-Tottenville,Medium-Large (10-18in)
392700,11,Alive,Good,pin oak,West Village,Large (18-24in)
629545,0,Stump,,,Ocean Hill,Small (0-3in)
316055,9,Alive,Good,littleleaf linden,Turtle Bay-East Midtown,Medium-Large (10-18in)
129495,5,Alive,Fair,swamp white oak,Stuyvesant Heights,Medium-Large (10-18in)
632827,19,Alive,Good,sugar maple,Douglas Manor-Douglaston-Little Neck,Very large (>24in)
462551,7,Alive,Good,red maple,East New York (Pennsylvania Ave),Medium-Large (10-18in)
29671,3,Alive,Good,Kentucky coffeetree,Battery Park City-Lower Manhattan,Medium (3-10in)
341825,20,Alive,Good,American elm,Pelham Bay-Country Club-City Island,Very large (>24in)
267563,14,Alive,Good,red maple,Rossville-Woodrow,Large (18-24in)
238360,8,Alive,Good,honeylocust,Washington Heights South,Medium-Large (10-18in)
205844,15,Alive,Good,littleleaf linden,Steinway,Large (18-24in)
263993,6,Alive,Good,Japanese zelkova,Sheepshead Bay-Gerritsen Beach-Manhattan Beach,Medium-Large (10-18in)
629775,17,Alive,Good,honeylocust,Ft. Totten-Bay Terrace-Clearview,Large (18-24in)
665762,25,Alive,Good,maple,St. Albans,
173373,11,Alive,Good,honeylocust,North Side-South Side,Large (18-24in)
382294,8,Alive,Fair,Callery pear,28,Medium-Large (10-18in)
416831,10,Alive,Good,Norway maple,Midwood,Medium-Large (10-18in)
483894,6,Alive,Good,Callery pear,Bedford,Medium-Large (10-18in)
374165,9,Alive,Good,pin oak,Norwood,Medium-Large (10-18in)
